                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.80562,                0.76784,                 1.2306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099149,              0.0099149,              0.0099149
                     89,                0.78285,                0.74665,                  1.207,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099139,              0.0099139,              0.0099139
                     90,                0.79553,                0.71325,                 1.2086,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099129,              0.0099129,              0.0099129
                     91,                0.83657,                0.73413,                 1.2413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099119,              0.0099119,              0.0099119
                     92,                0.80292,                0.73672,                 1.2492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099109,              0.0099109,              0.0099109
                     93,                0.78546,                0.72761,                 1.2174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099099,              0.0099099,              0.0099099
                     94,                0.78024,                0.71639,                  1.212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099089,              0.0099089,              0.0099089
                     95,                0.80756,                0.72628,                 1.2302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099079,              0.0099079,              0.0099079
                     96,                0.74225,                 0.7044,                 1.1807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099069,              0.0099069,              0.0099069
                     97,                0.78898,                0.74672,                 1.2326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009906,               0.009906,               0.009906
                     98,                0.78636,                0.70683,                 1.2638,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009905,               0.009905,               0.009905
                     99,                0.75671,                 0.7055,                 1.2164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009904,               0.009904,               0.009904
                    100,                0.79592,                0.70768,                 1.2257,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009903,               0.009903,               0.009903
                    101,                0.77126,                0.71245,                 1.2131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009902,               0.009902,               0.009902
                    102,                0.78537,                0.68428,                 1.2098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                    103,                0.76584,                0.70887,                 1.1989,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0099,                 0.0099,                 0.0099
                    104,                0.76746,                0.73544,                 1.2188,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009899,               0.009899,               0.009899
                    105,                0.75762,                0.69827,                 1.1928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009898,               0.009898,               0.009898
                    106,                 0.7913,                0.77156,                 1.2369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009897,               0.009897,               0.009897
                    107,                0.77321,                0.71789,                 1.2053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098961,              0.0098961,              0.0098961
                    108,                0.77139,                0.72174,                  1.219,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098951,              0.0098951,              0.0098951
                    109,                   0.72,                0.65499,                 1.1711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098941,              0.0098941,              0.0098941
                    110,                0.78864,                0.68233,                 1.2188,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098931,              0.0098931,              0.0098931
                    111,                0.67921,                 0.6213,                 1.1349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098921,              0.0098921,              0.0098921
                    112,                 0.7804,                0.69197,                 1.2186,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098911,              0.0098911,              0.0098911
                    113,                0.78745,                0.69713,                 1.2117,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098901,              0.0098901,              0.0098901
                    114,                0.76932,                0.69237,                 1.1962,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098891,              0.0098891,              0.0098891
                    115,                0.73228,                0.67642,                 1.2004,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098881,              0.0098881,              0.0098881
                    116,                 0.7366,                0.67421,                 1.1726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098871,              0.0098871,              0.0098871
                    117,                0.75239,                0.69656,                 1.1987,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098861,              0.0098861,              0.0098861
                    118,                0.76181,                0.65162,                 1.1897,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098852,              0.0098852,              0.0098852
                    119,                 0.6935,                 0.6303,                 1.1706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098842,              0.0098842,              0.0098842
                    120,                 0.6965,                0.65298,                 1.1695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098832,              0.0098832,              0.0098832
                    121,                0.71109,                0.63167,                 1.1649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098822,              0.0098822,              0.0098822
                    122,                 0.7002,                0.63874,                  1.155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                    123,                0.71066,                0.64956,                 1.1705,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098802,              0.0098802,              0.0098802
                    124,                0.73389,                0.68621,                 1.1986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098792,              0.0098792,              0.0098792
                    125,                0.77533,                0.70896,                 1.2416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098782,              0.0098782,              0.0098782
                    126,                0.77178,                0.66024,                 1.2075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098772,              0.0098772,              0.0098772
                    127,                0.74689,                0.64425,                 1.1921,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098763,              0.0098763,              0.0098763
                    128,                0.67596,                0.63262,                 1.1446,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098753,              0.0098753,              0.0098753
                    129,                0.70523,                0.63666,                 1.1844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098743,              0.0098743,              0.0098743
                    130,                0.71606,                0.61964,                 1.1603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098733,              0.0098733,              0.0098733
                    131,                0.73571,                0.66605,                 1.1923,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098723,              0.0098723,              0.0098723
                    132,                0.66213,                0.61211,                 1.1264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098713,              0.0098713,              0.0098713
                    133,                0.74751,                0.66596,                 1.1872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098703,              0.0098703,              0.0098703
